coin,name,networkList
AGLD,Adventure Gold,"[{'coin': 'AGLD', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Adventure Gold', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '12', 'withdrawIntegerMultiple': None, 'withdrawMax': '700000', 'withdrawMin': '16.8', 'sameAddress': False, 'contract': '0x32353a6c91143bfd6c7d363b546e62a9a2489a20', 'withdrawTips': None, 'depositTips': None}]"
STPT,STP,"[{'coin': 'STPT', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'STP', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '96', 'withdrawIntegerMultiple': None, 'withdrawMax': '2857142.857142', 'withdrawMin': '142.857142', 'sameAddress': False, 'contract': '0xDe7D85157d9714EADf595045CC12Ca4A5f3E2aDb', 'withdrawTips': None, 'depositTips': None}]"
BBC,BitCoin Battle,"[{'coin': 'BBC', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'BitCoin Battle', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '1331389353', 'withdrawIntegerMultiple': None, 'withdrawMax': '260000000000000', 'withdrawMin': '2600000000', 'sameAddress': False, 'contract': '0x14bEB72194866e1B4D6Ffad3CD5b488f76168b61', 'withdrawTips': ""The token name of BitCoin Battle(BITCOIN) is BBC in MEXC; The last digits of the token's contract address are 8b61, please make sure they're correct before taking action."", 'depositTips': ""The token name of BitCoin Battle(BITCOIN) is BBC in MEXC; The last digits of the token's contract address are 8b61, please make sure they're correct before taking action.""}]"
SCT,SuperCells,"[{'coin': 'SCT', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'SuperCells', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '2.5', 'withdrawIntegerMultiple': None, 'withdrawMax': '4000000', 'withdrawMin': '10', 'sameAddress': False, 'contract': '0x405e7454E71AEfe8897438ADc08E3f3e6d49Dfc1', 'withdrawTips': '', 'depositTips': ''}]"
BBF,Bubblefong Token,"[{'coin': 'BBF', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 64, 'name': 'Bubblefong Token', 'network': 'Ethereum(ERC20)', 'withdrawEnable': True, 'withdrawFee': '46', 'withdrawIntegerMultiple': None, 'withdrawMax': '150000', 'withdrawMin': '410.4', 'sameAddress': False, 'contract': '0xDE075D9ADbD0240b4462F124af926452Ad0BAC91', 'withdrawTips': None, 'depositTips': None}]"
XRPAYNET,XRPaynet,"[{'coin': 'XRPAYNET', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 30, 'name': 'XRPaynet', 'network': 'Ripple(XRP)', 'withdrawEnable': True, 'withdrawFee': '10', 'withdrawIntegerMultiple': None, 'withdrawMax': '87000000', 'withdrawMin': '20', 'sameAddress': True, 'contract': '58525061794E6574000000000000000000000000', 'withdrawTips': ""As XRPAYNET runs on XRP chain, it's mandatory for users to activate XRPAYNET on the address. Otherwise, the withdrawal won't be credited."", 'depositTips': None}]"
SCY,Synchrony,"[{'coin': 'SCY', 'depositDesc': 'Deposit suspended due to wallet maintenance', 'depositEnable': False, 'minConfirm': 100, 'name': 'Synchrony', 'network': 'Solana(SOL)', 'withdrawEnable': True, 'withdrawFee': '0', 'withdrawIntegerMultiple': None, 'withdrawMax': '9007199', 'withdrawMin': '10000', 'sameAddress': False, 'contract': 'SCYfrGCw8aDiqdgcpdGjV6jp4UVVQLuphxTDLNWu36f', 'withdrawTips': 'The withdrawal address must be the owner’s address or an activated secondary address. Otherwise, you will lose your funds.\r\nsol network is unstable，withdrawal may be failed.', 'depositTips': 'The delay in the SOL chain scanning may lead to a delay in your deposit.'}]"
KUJI,Kujira,"[{'coin': 'KUJI', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 60, 'name': 'Kujira', 'network': 'KUJI', 'withdrawEnable': True, 'withdrawFee': '0.07', 'withdrawIntegerMultiple': None, 'withdrawMax': '400000', 'withdrawMin': '0.3', 'sameAddress': True, 'contract': '', 'withdrawTips': None, 'depositTips': 'You will not need to fill in the memo to deposit to this address. Please top up without any worry.'}]"
NEAR,NEAR,"[{'coin': 'NEAR', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 100, 'name': 'NEAR', 'network': 'NEAR Protocol(NEAR)', 'withdrawEnable': True, 'withdrawFee': '0.01', 'withdrawIntegerMultiple': None, 'withdrawMax': '135000', 'withdrawMin': '1.6', 'sameAddress': False, 'contract': '', 'withdrawTips': None, 'depositTips': 'Only supports NEAR mainnet currently.'}]"
SCOTTY,Scotty Beam,"[{'coin': 'SCOTTY', 'depositDesc': None, 'depositEnable': True, 'minConfirm': 12, 'name': 'Scotty Beam', 'network': 'BNB Smart Chain(BEP20)', 'withdrawEnable': True, 'withdrawFee': '552', 'withdrawIntegerMultiple': None, 'withdrawMax': '200000000', 'withdrawMin': '600', 'sameAddress': False, 'contract': '0x000351d035d8bbf2aa3131ebfecd66fb21836f6c', 'withdrawTips': None, 'depositTips': None}]"
