"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2022-12-03 19:03:16","975669667","YFIIUSDT","Stop-Limit","SELL","2200.0000000000","0.0210000000YFII","2023-03-24 13:50:51","0.0000000000YFII","0E-8","0.0000000000USDT","EXPIRED"
"2022-12-03 19:01:35","975665975","YFIIUSDT","Stop-Limit","SELL","1900.0000000000","0.0210000000YFII","2023-03-24 13:50:51","0.0000000000YFII","0E-8","0.0000000000USDT","EXPIRED"
"2022-12-03 19:00:09","975660833","YFIIUSDT","Market","BUY","0E-10","0.0420000000YFII","2022-12-03 19:00:09","0.0420000000YFII","1186.20000000","49.8204000000USDT","FILLED"
"2022-12-03 18:59:26","790587760","BUSDUSDT","Market","SELL","0E-10","50.0000000000BUSD","2022-12-03 18:59:26","50.0000000000BUSD","0.99990000","49.9950000000USDT","FILLED"
"2022-10-11 00:40:08","312788235","SUSHIBUSD","Stop-Limit","SELL","3.7000000000","11.9000000000SUSHI","2023-03-24 13:50:51","0.0000000000SUSHI","0E-8","0.0000000000BUSD","EXPIRED"
"2022-10-11 00:38:29","312787667","SUSHIBUSD","Market","BUY","0E-10","12.0000000000SUSHI","2022-10-11 00:38:29","12.0000000000SUSHI","1.27000000","15.2400000000BUSD","FILLED"
"2022-10-11 00:34:10","933006465","YFIIUSDT","Stop-Limit","SELL","1850.0000000000","0.0271000000YFII","2022-11-08 22:22:38","0.0271000000YFII","1850.00000000","50.1350000000USDT","FILLED"
"2022-10-11 00:32:48","933006346","YFIIUSDT","Limit","BUY","965.7000000000","0.0271000000YFII","2022-10-11 00:32:48","0.0271000000YFII","965.70000000","26.1704700000USDT","FILLED"
"2022-09-17 11:40:00","5742792011","ETHBUSD","Stop-Limit","SELL","1800.0000000000","0.0140000000ETH","2023-03-24 13:50:34","0.0000000000ETH","0E-8","0.0000000000BUSD","EXPIRED"
"2022-09-17 11:38:12","77109974","AERGOBUSD","Stop-Limit","SELL","0.3900000000","70.0000000000AERGO","2023-03-24 13:50:56","0.0000000000AERGO","0E-8","0.0000000000BUSD","EXPIRED"
"2022-09-17 11:37:11","77109283","AERGOBUSD","Stop-Limit","SELL","0.4500000000","104.0000000000AERGO","2023-03-24 13:50:56","0.0000000000AERGO","0E-8","0.0000000000BUSD","EXPIRED"
"2022-09-17 11:36:31","77109136","AERGOBUSD","Stop-Limit","SELL","0.2800000000","103.0000000000AERGO","2023-03-24 13:50:56","0.0000000000AERGO","0E-8","0.0000000000BUSD","EXPIRED"
"2022-09-17 11:35:30","77108936","AERGOBUSD","Market","BUY","0E-10","207.0000000000AERGO","2022-09-17 11:35:30","207.0000000000AERGO","0.14440000","29.8908000000BUSD","FILLED"
"2022-09-17 11:34:58","77108850","AERGOBUSD","Limit","BUY","0.1442000000","138.0000000000AERGO","2022-09-17 11:35:14","0.0000000000AERGO","0E-8","0.0000000000BUSD","CANCELED"
"2022-09-17 11:33:23","5742755939","ETHBUSD","Limit","BUY","1425.1000000000","0.0140000000ETH","2022-09-17 11:33:23","0.0140000000ETH","1424.91000000","19.9487400000BUSD","FILLED"
"2022-08-18 23:59:19","289732054","UNFIBUSD","Limit","BUY","7.3010000000","2.5000000000UNFI","2022-08-26 23:34:09","2.5000000000UNFI","7.30100000","18.2525000000BUSD","FILLED"
"2022-08-10 23:37:10","516055017","SHIBBUSD","Stop-Limit","SELL","0.0000601000","906008.0000000000SHIB","2023-03-24 13:51:07","0.0000000000SHIB","0E-8","0.0000000000BUSD","EXPIRED"
"2022-08-10 23:34:52","625252774","MATICBUSD","Stop-Limit","SELL","1.5500000000","22.9000000000MATIC","2023-03-24 13:50:43","0.0000000000MATIC","0E-8","0.0000000000BUSD","EXPIRED"
"2022-08-10 23:34:34","625252703","MATICBUSD","Stop-Limit","SELL","1.5500000000","22.9000000000MATIC","2023-03-24 13:50:43","0.0000000000MATIC","0E-8","0.0000000000BUSD","EXPIRED"
"2022-08-10 23:26:51","535909134","DOTBUSD","Limit","BUY","9.4700000000","3.1300000000DOT","2022-08-10 23:26:51","3.1300000000DOT","9.46000000","29.6098000000BUSD","FILLED"
