"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2023-12-27 05:29:38","2016489292","SHIBUSDT","Limit","SELL","0.0000514500","2223708.0000000000SHIB","2023-12-27 05:29:38","0.0000000000SHIB","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-27 05:26:09","2016487666","SHIBUSDT","Limit","SELL","0.0000450400","1236271.0000000000SHIB","2023-12-27 05:29:02","0.0000000000SHIB","0E-8","0.0000000000USDT","CANCELED"
"2023-12-27 05:19:36","604129331","CAKEUSDT","Limit","SELL","15.9540000000","3.0800000000CAKE","2023-12-27 05:19:36","0.0000000000CAKE","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-27 02:56:39","216052992","ILVUSDT","Limit","SELL","468.3800000000","0.0940000000ILV","2023-12-27 02:56:39","0.0000000000ILV","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-27 02:55:08","216051671","ILVUSDT","Limit","SELL","310.7200000000","0.1870000000ILV","2023-12-27 02:55:08","0.0000000000ILV","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-27 02:38:59","216036217","ILVUSDT","Market","BUY","0E-10","0.3750000000ILV","2023-12-27 02:38:59","0.3750000000ILV","96.20336000","36.0762600000USDT","FILLED"
"2023-12-27 02:01:25","2016377841","SHIBUSDT","Limit","BUY","0.0000095000","2140907.0000000000SHIB","2024-01-03 12:08:42","2140907.0000000000SHIB","0.00000950","20.3386165000USDT","FILLED"
"2023-12-25 22:29:14","1221036194","NEOUSDT","Limit","SELL","71.9900000000","0.2200000000NEO","2023-12-25 22:29:14","0.0000000000NEO","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-25 22:28:22","1221035833","NEOUSDT","Limit","SELL","45.5600000000","0.4500000000NEO","2023-12-25 22:28:22","0.0000000000NEO","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-25 22:27:27","1221035536","NEOUSDT","Market","BUY","0E-10","0.8400000000NEO","2023-12-25 22:27:27","0.8400000000NEO","14.71000000","12.3564000000USDT","FILLED"
"2023-12-25 20:59:59","246911474","GMXUSDT","Limit","SELL","78.4600000000","0.3140000000GMX","2023-12-25 20:59:59","0.0000000000GMX","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-25 20:43:26","246903059","GMXUSDT","Market","BUY","0E-10","0.3150000000GMX","2023-12-25 20:43:26","0.3150000000GMX","47.01000000","14.8081500000USDT","FILLED"
"2023-12-25 17:05:27","175519020","ASRUSDT","Limit","SELL","12.9460000000","1.1000000000ASR","2023-12-25 17:05:27","0.0000000000ASR","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-25 17:04:57","175518939","ASRUSDT","Limit","SELL","8.4640000000","2.3000000000ASR","2023-12-25 17:04:57","0.0000000000ASR","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-25 17:03:53","175518893","ASRUSDT","Limit","BUY","2.6490000000","4.6000000000ASR","2023-12-25 17:03:53","4.6000000000ASR","2.61200000","12.0152000000USDT","FILLED"
"2023-12-24 01:11:54","596712811","CAKEUSDT","Limit","SELL","13.9540000000","3.0800000000CAKE","2023-12-27 05:19:36","0.0000000000CAKE","0E-8","0.0000000000USDT","CANCELED"
"2023-12-24 01:08:55","596708147","CAKEUSDT","Limit","SELL","7.5100000000","3.0800000000CAKE","2023-12-24 01:10:36","0.0000000000CAKE","0E-8","0.0000000000USDT","CANCELED"
"2023-12-24 01:08:22","596706552","CAKEUSDT","Limit","SELL","7.5100000000","3.0800000000CAKE","2023-12-24 01:11:54","0.0000000000CAKE","0E-8","0.0000000000USDT","CANCELED"
"2023-12-23 02:55:54","2137883543","THETAUSDT","Limit","BUY","0.6220000000","12.2000000000THETA","2023-12-23 02:55:54","0.0000000000THETA","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-22 14:20:30","470637653","YGGUSDT","Limit","SELL","2.0842000000","17.8000000000YGG","2023-12-22 14:20:30","0.0000000000YGG","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-22 14:19:36","470636759","YGGUSDT","Limit","SELL","0.8423000000","11.8000000000YGG","2023-12-22 14:19:36","0.0000000000YGG","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-22 14:18:51","470636073","YGGUSDT","Market","BUY","0E-10","47.5000000000YGG","2023-12-22 14:18:51","47.5000000000YGG","0.41720000","19.8170000000USDT","FILLED"
"2023-12-22 14:17:14","2123881398","NEARUSDT","Limit","BUY","1.7360000000","8.9000000000NEAR","2023-12-22 14:17:14","0.0000000000NEAR","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-22 14:13:05","2164197247","MANAUSDT","Stop-Limit","SELL","2.5174000000","6.0000000000MANA","2023-12-22 14:13:05","0.0000000000MANA","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-22 14:10:18","2164193438","MANAUSDT","Limit","SELL","1.3517000000","13.0000000000MANA","2023-12-22 14:10:18","0.0000000000MANA","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-22 14:09:17","2164192774","MANAUSDT","Market","BUY","0E-10","19.0000000000MANA","2023-12-22 14:09:17","19.0000000000MANA","0.51930000","9.8667000000USDT","FILLED"
"2023-12-22 14:04:29","1521371385","AXSUSDT","Limit","SELL","17.5300000000","1.1700000000AXS","2023-12-22 14:04:29","0.0000000000AXS","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-20 14:37:03","1665980694","CHZUSDT","Stop-Limit","SELL","0.4000000000","80.0000000000CHZ","2023-12-20 14:37:03","0.0000000000CHZ","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-20 14:34:42","1665977552","CHZUSDT","Stop-Limit","SELL","0.3440000000","80.0000000000CHZ","2023-12-20 14:34:42","0.0000000000CHZ","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-20 14:30:58","1665973325","CHZUSDT","Market","BUY","0E-10","174.0000000000CHZ","2023-12-20 14:30:58","174.0000000000CHZ","0.08395000","14.6073000000USDT","FILLED"
"2023-12-14 03:15:13","1517522925","AXSUSDT","Limit","BUY","7.1900000000","2.0900000000AXS","2023-12-14 03:15:30","2.0900000000AXS","7.19000000","15.0271000000USDT","FILLED"
"2023-12-13 02:20:43","4930248531","BNBUSDT","Limit","BUY","230.4000000000","0.0620000000BNB","2023-12-25 17:13:12","0.0000000000BNB","0E-8","0.0000000000USDT","CANCELED"
"2023-12-13 02:18:44","1248607146","ENJUSDT","Limit","BUY","0.2535000000","39.4000000000ENJ","2023-12-23 02:55:02","0.0000000000ENJ","0E-8","0.0000000000USDT","CANCELED"
"2023-12-13 02:17:55","4451034058","SOLUSDT","Limit","BUY","23.8000000000","0.6300000000SOL","2023-12-25 17:20:06","0.0000000000SOL","0E-8","0.0000000000USDT","CANCELED"
"2023-12-13 02:17:26","3256909436","MATICUSDT","Limit","BUY","0.5644000000","17.7000000000MATIC","2023-12-13 02:17:26","0.0000000000MATIC","0E-8","0.0000000000USDT","UNKNOWN_STATUS"
"2023-12-13 02:16:56","2153051247","MANAUSDT","Limit","BUY","0.3525000000","28.0000000000MANA","2023-12-22 14:09:00","0.0000000000MANA","0E-8","0.0000000000USDT","CANCELED"
